year,bcaro,zea
1960,193.2038835,181.5533981
1961,199.0291262,187.3786408
1962,201.9417476,193.2038835
1963,207.7669903,207.7669903
1964,204.8543689,216.5048544
1965,204.8543689,219.4174757
1966,207.7669903,225.2427184
1967,210.6796117,228.1553398
1968,219.4174757,239.8058252
1969,231.0679612,251.4563107
1970,239.8058252,257.2815534
1971,248.5436893,271.8446602
1972,268.9320388,289.3203883
1973,286.407767,300.9708738
1974,300.9708738,315.5339806
1975,324.2718447,333.0097087
1976,350.4854369,353.3980583
1977,370.8737864,379.6116505
1978,394.1747573,400
1979,417.4757282,429.1262136
1980,449.5145631,472.815534
1981,481.5533981,519.4174757
1982,504.8543689,568.9320388
1983,536.8932039,615.5339806
1984,566.0194175,656.3106796
1985,580.5825243,691.2621359
1986,595.1456311,720.3883495
1987,612.6213592,749.5145631
1988,635.9223301,764.0776699
1989,659.223301,787.3786408
1990,688.3495146,828.1553398
1991,732.038835,860.1941748
1992,772.815534,877.6699029
1993,778.6407767,900.9708738
1994,793.2038835,909.7087379
1995,816.5048544,924.2718447